Dim1,Dim2,Class
9.0244255,23.871653,3.0
-23.803268,-3.0679371,1.0
-17.746264,-1.0990226,4.0
23.958035,18.11727,4.0
-54.483307,-19.44557,1.0
-50.06553,2.3913765,1.0
-51.940845,0.5939053,1.0
-30.561853,-7.6936297,
1.1339223,39.111996,1.0
-60.13647,8.682179,4.0
-64.88798,10.547735,3.0
-71.018936,16.876434,3.0
-30.063358,-18.256142,1.0
-31.266014,-13.542873,3.0
-8.514657,-12.6582985,1.0
-64.62952,10.517555,3.0
-44.14598,-4.3709135,1.0
-62.1249,9.5150795,1.0
-38.89318,-3.4500945,3.0
-70.65799,19.151588,4.0
-50.747074,6.1519566,3.0
-56.25918,-7.123935,1.0
-50.813553,3.333866,1.0
-45.8199,-4.9083543,1.0
0.24723049,-8.252195,1.0
-17.059696,-11.425965,
-70.009056,19.069633,1.0
-59.76794,-11.853742,4.0
1.5880275,13.901863,1.0
-51.779137,0.34717175,4.0
-68.867546,15.912478,3.0
-75.97035,22.247053,1.0
-46.02005,-8.911392,4.0
-5.3656545,-57.444687,1.0
-45.84278,-9.134294,3.0
27.855936,-55.03257,3.0
-29.782164,-19.08385,3.0
-32.094707,-12.471259,3.0
-17.74721,2.3980174,4.0
-42.36681,0.36177498,3.0
-0.9860044,15.445978,1.0
-16.848461,2.5011077,1.0
-30.458933,-13.124659,1.0
-30.20902,-0.08323801,1.0
0.02145636,34.996906,
-22.300697,-10.867785,1.0
-1.8333523,-23.326092,1.0
-24.867687,-22.344044,3.0
-18.110645,-16.18562,1.0
-4.912578,-57.48447,4.0
-18.930204,-13.615808,1.0
6.091199,67.03545,1.0
-13.566456,1.7890891,1.0
-58.827354,-15.609556,4.0
-8.222506,-26.286322,4.0
-23.357567,-17.618204,1.0
-25.627876,-21.47852,1.0
-54.863533,-15.952457,1.0
-63.899117,10.045002,1.0
-32.475784,-14.368932,4.0
-44.293407,1.4014512,1.0
-0.09675031,-62.216976,4.0
37.38433,-59.12172,4.0
-1.2968287,-70.79994,4.0
52.667603,-24.915003,
-22.801023,-17.635654,3.0
-45.20335,2.1469417,3.0
-50.77318,3.8832657,1.0
40.384415,-51.886715,1.0
-31.109035,-13.7049265,4.0
-8.761739,-27.150713,1.0
63.32699,-27.637478,
72.674255,-19.490173,4.0
72.48088,-18.610214,4.0
50.639034,-20.173473,4.0
14.887051,63.333923,1.0
-5.92855,-21.598537,1.0
58.612263,-14.139754,4.0
47.934418,-17.830511,1.0
10.697851,56.05929,1.0
-28.666998,8.098498,4.0
46.880684,-19.408558,4.0
-17.375725,-11.367704,1.0
-13.76448,55.806416,4.0
4.6932735,60.51211,4.0
13.139835,13.4012575,4.0
-7.12101,50.76273,3.0
20.875757,16.619944,3.0
20.85967,39.630856,1.0
-12.570122,40.614155,4.0
23.679302,21.214443,1.0
57.254936,-25.347897,1.0
10.716199,12.620636,1.0
-2.5778518,9.942823,1.0
6.490435,33.573597,1.0
2.3409507,-2.7635891,1.0
-29.733515,1.8832185,1.0
-3.4299338,36.315018,1.0
-10.023447,25.832052,1.0
20.234657,-0.10988577,1.0
-30.399609,1.7462103,1.0
17.051455,29.422693,1.0
-31.636133,1.6034449,1.0
-50.792942,15.764245,1.0
-11.538159,45.902122,1.0
-58.81306,18.950981,1.0
9.274954,-31.332823,1.0
-4.320889,2.2563367,1.0
-41.653645,8.599276,1.0
-44.706627,39.608936,1.0
-65.11956,12.497649,1.0
-58.153385,16.933126,1.0
-2.630945,9.912843,1.0
-39.91282,13.170496,1.0
-58.225685,17.079731,1.0
-41.60401,8.547876,1.0
6.7694926,58.528194,4.0
-67.759834,8.396473,
-76.810684,22.33694,3.0
18.140396,34.841827,3.0
63.312126,-17.619621,4.0
-35.752544,-32.101612,4.0
-47.44265,18.199678,1.0
29.014889,25.239975,4.0
-21.999165,-24.651249,4.0
-48.548847,28.313475,3.0
-33.34704,13.768644,1.0
-11.43204,-23.792242,4.0
-13.529257,-3.602397,4.0
56.268448,-17.597296,4.0
57.795395,12.72504,4.0
37.374214,31.096436,3.0
-7.2884474,10.499672,4.0
2.239556,8.754775,1.0
-59.040054,13.551974,4.0
-47.61048,9.043549,1.0
-57.09145,-3.0079625,3.0
-1.3856807,21.259281,1.0
-24.859419,-26.837595,1.0
35.862183,-58.927853,4.0
-70.61531,20.36192,1.0
72.80421,44.414104,3.0
-46.122437,7.393442,1.0
0.36336762,17.624846,1.0
-64.135796,16.537382,1.0
-69.52041,19.047476,1.0
-31.988972,2.9991417,1.0
4.890386,-11.1380205,4.0
-52.22734,-14.685148,1.0
-50.779713,5.2709675,4.0
0.685768,-6.0638065,1.0
-30.111452,-19.025133,3.0
-59.546482,20.757914,4.0
-77.87747,21.181417,3.0
-65.95454,14.627309,4.0
-8.674258,28.694504,1.0
-57.73193,29.040066,3.0
-40.4849,16.245022,4.0
-50.614304,11.903854,3.0
-40.49656,1.9149615,4.0
-47.764786,-12.623429,4.0
-73.95079,30.959543,1.0
-6.207513,-0.121319704,1.0
-25.622524,50.73642,4.0
-68.65892,32.291996,5.0
-31.667173,-16.12016,4.0
-45.272842,-9.557186,4.0
-16.400764,-27.907413,3.0
77.719086,-63.75699,1.0
-20.331398,-19.110016,
-17.474388,-27.364878,1.0
44.934166,-13.45683,4.0
9.610245,-82.79408,4.0
23.676525,-46.97716,4.0
76.39824,-20.189014,4.0
-38.148003,11.711324,1.0
16.140507,-73.26329,4.0
-3.7996275,5.862061,
-34.99066,11.89575,4.0
-36.918556,1.1578201,1.0
4.775189,32.585285,1.0
-64.61474,23.10982,5.0
9.484698,37.09399,3.0
-55.145695,15.209205,5.0
8.771494,14.242703,3.0
-36.865574,-14.450324,3.0
-40.15402,-20.677792,4.0
22.761972,0.8967985,1.0
-72.024124,20.941572,1.0
20.694157,-80.18451,
-35.55652,-68.262726,4.0
-6.5058265,-81.91203,
-42.163815,-31.665941,
8.658092,-29.682884,1.0
-22.064787,-27.902227,4.0
-45.93321,-53.489605,1.0
30.172052,-63.72157,4.0
-54.029434,-19.130354,4.0
38.772705,-21.160997,1.0
68.50546,42.59517,4.0
12.609644,1.9661407,1.0
26.681335,26.165325,5.0
4.765951,-11.108471,1.0
-57.19598,-8.461974,4.0
-12.1195135,12.09811,1.0
-42.137756,1.6588415,1.0
-21.863155,-10.385567,1.0
1.1366844,-16.342436,4.0
-28.999933,-20.91683,4.0
-21.68815,16.046501,4.0
55.91278,-16.503565,1.0
-57.212364,-2.8863215,4.0
-23.972937,-18.616055,1.0
-40.56939,-32.529083,4.0
-19.463104,9.64384,4.0
-37.76677,-7.3266807,4.0
-19.930285,13.298719,1.0
-39.605644,-33.78369,
-1.3551747,11.868449,4.0
-8.401044,14.323652,
-15.105291,-36.611767,
-76.59061,21.937883,4.0
1.3682438,22.577858,1.0
-78.22883,30.18419,5.0
-72.04776,21.127573,1.0
-77.33692,29.531027,1.0
-63.717335,10.543912,1.0
-76.19476,22.402105,5.0
-68.38411,11.738217,1.0
-14.965705,-15.943051,1.0
-70.28953,15.083684,4.0
-59.468784,-12.444842,1.0
-76.71225,21.656569,4.0
-63.451115,10.700553,4.0
-74.299446,23.659346,4.0
-56.769455,-9.077245,4.0
-77.918076,30.293343,5.0
-41.392723,-8.064897,1.0
-45.2251,0.27395487,3.0
-76.943245,22.06811,4.0
-78.05193,21.86802,3.0
-55.188614,12.10758,1.0
-53.56911,-14.732169,1.0
-56.657784,-16.783524,4.0
-18.214638,2.3739166,4.0
-73.536316,18.45984,3.0
-66.7281,24.2377,1.0
-75.78845,22.968508,4.0
-75.8022,20.655548,4.0
